task,partition,num_dialogue_tokens,num_note_tokens
TaskA,train,158,98
TaskA,train,361,140
TaskA,train,139,58
TaskA,train,107,35
TaskA,train,42,5
TaskA,train,89,4
TaskA,train,214,99
TaskA,train,12,5
TaskA,train,278,140
TaskA,train,90,31
TaskA,train,229,56
TaskA,train,789,508
TaskA,train,41,2
TaskA,train,128,17
TaskA,train,291,107
TaskA,train,57,8
TaskA,train,203,147
TaskA,train,103,7
TaskA,train,101,24
TaskA,train,15,2
TaskA,train,107,23
TaskA,train,76,25
TaskA,train,240,40
TaskA,train,43,4
TaskA,train,47,47
TaskA,train,40,12
TaskA,train,33,4
TaskA,train,19,3
TaskA,train,275,172
TaskA,train,41,5
TaskA,train,64,11
TaskA,train,136,70
TaskA,train,212,7
TaskA,train,324,146
TaskA,train,96,71
TaskA,train,87,30
TaskA,train,283,142
TaskA,train,36,7
TaskA,train,612,194
TaskA,train,36,4
TaskA,train,233,107
TaskA,train,158,26
TaskA,train,39,4
TaskA,train,39,3
TaskA,train,232,139
TaskA,train,34,4
TaskA,train,75,14
TaskA,train,146,75
TaskA,train,180,47
TaskA,train,135,19
TaskA,train,59,14
TaskA,train,29,5
TaskA,train,210,198
TaskA,train,68,15
TaskA,train,80,51
TaskA,train,123,62
TaskA,train,48,4
TaskA,train,52,20
TaskA,train,19,6
TaskA,train,173,115
TaskA,train,29,4
TaskA,train,76,20
TaskA,train,48,11
TaskA,train,156,18
TaskA,train,162,72
TaskA,train,141,48
TaskA,train,66,14
TaskA,train,101,16
TaskA,train,44,8
TaskA,train,85,11
TaskA,train,175,79
TaskA,train,68,5
TaskA,train,47,11
TaskA,train,124,28
TaskA,train,92,6
TaskA,train,55,6
TaskA,train,69,31
TaskA,train,27,2
TaskA,train,49,10
TaskA,train,137,54
TaskA,train,66,14
TaskA,train,55,4
TaskA,train,50,11
TaskA,train,169,15
TaskA,train,189,55
TaskA,train,85,38
TaskA,train,33,4
TaskA,train,49,10
TaskA,train,71,19
TaskA,train,29,3
TaskA,train,112,38
TaskA,train,28,4
TaskA,train,89,15
TaskA,train,35,16
TaskA,train,59,2
TaskA,train,74,7
TaskA,train,178,128
TaskA,train,43,4
TaskA,train,50,5
TaskA,train,67,34
TaskA,train,88,30
TaskA,train,43,10
TaskA,train,180,99
TaskA,train,88,27
TaskA,train,12,5
TaskA,train,62,6
TaskA,train,110,10
TaskA,train,22,4
TaskA,train,62,24
TaskA,train,17,2
TaskA,train,502,156
